date,bitcoin,
17/07/2010,4,
18/07/2010,4,
19/07/2010,3,
20/07/2010,7,
21/07/2010,3,
22/07/2010,3,
23/07/2010,14,
24/07/2010,0,
25/07/2010,9,
26/07/2010,3,
27/07/2010,6,
28/07/2010,7,
29/07/2010,6,
30/07/2010,7,
31/07/2010,4,
01/08/2010,0,
02/08/2010,0,
03/08/2010,0,
04/08/2010,3,
05/08/2010,7,
06/08/2010,0,
07/08/2010,9,
08/08/2010,9,
09/08/2010,3,
10/08/2010,0,
11/08/2010,3,
12/08/2010,3,
13/08/2010,0,
14/08/2010,0,
15/08/2010,0,
16/08/2010,6,
17/08/2010,3,
18/08/2010,0,
19/08/2010,7,
20/08/2010,0,
21/08/2010,0,
22/08/2010,0,
23/08/2010,0,
24/08/2010,6,
25/08/2010,0,
26/08/2010,3,
27/08/2010,7,
28/08/2010,4,
29/08/2010,4,
30/08/2010,0,
31/08/2010,3,
01/09/2010,0,
02/09/2010,3,
03/09/2010,0,
04/09/2010,4,
05/09/2010,4,
06/09/2010,0,
07/09/2010,0,
08/09/2010,3,
09/09/2010,0,
10/09/2010,0,
11/09/2010,0,
12/09/2010,0,
13/09/2010,0,
14/09/2010,3,
15/09/2010,3,
16/09/2010,3,
17/09/2010,3,
18/09/2010,4,
19/09/2010,0,
20/09/2010,9,
21/09/2010,0,
22/09/2010,0,
23/09/2010,3,
24/09/2010,9,
25/09/2010,4,
26/09/2010,4,
27/09/2010,0,
28/09/2010,6,
29/09/2010,6,
30/09/2010,6,
01/10/2010,9,
02/10/2010,8,
03/10/2010,7,
04/10/2010,6,
05/10/2010,12,
06/10/2010,3,
07/10/2010,3,
08/10/2010,0,
09/10/2010,4,
10/10/2010,0,
11/10/2010,0,
12/10/2010,0,
13/10/2010,0,
14/10/2010,0,
15/10/2010,0,
16/10/2010,7,
17/10/2010,0,
18/10/2010,3,
19/10/2010,3,
20/10/2010,6,
21/10/2010,12,
22/10/2010,3,
23/10/2010,4,
24/10/2010,4,
25/10/2010,3,
26/10/2010,3,
27/10/2010,3,
28/10/2010,0,
29/10/2010,3,
30/10/2010,0,
31/10/2010,11,
01/11/2010,6,
